,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(85,)","(4,)",247632.0,463,-68271.0,3.6271916333435867,-59976.0,4.128851540616247,45.65,10,-49482.0,26,-30910.0,32634.0,-27216.0,6390.0,-4374.0,231,232,49.89
"(50,)","(8,)",375942.0,386,-104013.0,3.61437512618615,-101115.0,3.7179646936656283,50.78,8,-51463.0,26,-26395.0,27468.0,-26859.0,7348.0,-5649.0,193,193,50.0
"(50,)","(2,)",320880.0,950,-88914.0,3.608880491261219,-83937.0,3.822867150362772,42.96,8,-48169.0,23,-26739.0,27594.0,-21840.0,4477.0,-2783.0,475,475,50.0
"(45,)","(2,)",473046.0,964,-131817.0,3.5886570017524293,-128604.0,3.678314826910516,44.68,10,-49444.0,43,-23843.0,27048.0,-20811.0,4565.0,-2787.0,482,482,50.0
"(55,)","(2,)",406644.0,915,-116655.0,3.485868586858686,-109284.0,3.7209838585703303,44.1,4,-68691.0,23,-25364.0,29358.0,-28518.0,4428.0,-2705.0,458,457,50.05
"(5,)","(4,)",439152.0,2219,-126483.0,3.47202390835132,-124173.0,3.5366142398105866,46.4,6,-65404.0,35,-25445.0,23268.0,-11445.0,2942.0,-2179.0,1110,1109,50.02
"(80,)","(5,)",247422.0,379,-73773.0,3.353828636493026,-60333.0,4.100939784197703,44.06,9,-52143.0,30,-28846.0,32004.0,-25494.0,7727.0,-4919.0,189,190,49.87
"(85,)","(5,)",264390.0,405,-79401.0,3.329806929383761,-76650.0,3.4493150684931506,46.9,12,-48349.0,28,-30705.0,32634.0,-27216.0,6744.0,-4724.0,202,203,49.88
"(85,)","(7,)",281358.0,337,-84861.0,3.315515961395694,-80913.0,3.4772904230469766,48.37,12,-50435.0,31,-29730.0,31059.0,-25872.0,7576.0,-5531.0,168,169,49.85
"(25,)","(8,)",295218.0,604,-89670.0,3.292271662763466,-89082.0,3.314002828854314,48.34,9,-51476.0,34,-26211.0,26271.0,-20055.0,5603.0,-4298.0,302,302,50.0
"(85,)","(3,)",242340.0,557,-74739.0,3.2424838437763417,-61719.0,3.9265056141544745,43.19,7,-58203.0,26,-29484.0,33894.0,-25494.0,5943.0,-3718.0,278,279,49.91
"(55,)","(8,)",256452.0,374,-79695.0,3.2179183135704874,-73227.0,3.5021508459994264,48.11,4,-61094.0,19,-25874.0,24276.0,-29862.0,7177.0,-5345.0,187,187,50.0
"(35,)","(7,)",334320.0,521,-104223.0,3.2077372556921215,-91665.0,3.647193585337915,47.6,5,-68838.0,30,-25052.0,26712.0,-24549.0,6455.0,-4633.0,260,261,49.9
"(15,)","(7,)",359310.0,884,-112224.0,3.2017215568862274,-110292.0,3.257806549885758,48.01,8,-48326.0,31,-24306.0,26355.0,-19383.0,4694.0,-3545.0,442,442,50.0
"(90,)","(3,)",358680.0,500,-112581.0,3.185972766274949,-101199.0,3.5443037974683542,47.29,9,-51305.0,30,-27142.0,34167.0,-27216.0,5959.0,-4065.0,250,250,50.0
"(90,)","(4,)",292026.0,416,-91707.0,3.1843370735058394,-84525.0,3.4549068322981364,44.44,10,-53065.0,25,-31927.0,32907.0,-27216.0,7056.0,-4488.0,208,208,50.0
"(95,)","(5,)",327222.0,356,-104097.0,3.1434335283437562,-89922.0,3.6389537599252684,46.35,5,-59186.0,23,-27048.0,32172.0,-28539.0,7447.0,-4859.0,178,178,50.0
